Size	BlockX	BlockY	Time_ms
200	8	8	107.284
200	16	8	0.653408
200	16	16	0.563616
200	32	8	0.580512
200	32	16	0.558272
200	32	32	0.534176
400	8	8	1.85581
400	16	8	1.5833
400	16	16	1.65968
400	32	8	1.62976
400	32	16	1.66365
400	32	32	1.67539
800	8	8	11.1886
800	16	8	8.6543
800	16	16	8.02307
800	32	8	7.1249
800	32	16	7.02771
800	32	32	6.92995
1200	8	8	26.6838
1200	16	8	21.2713
1200	16	16	19.2375
1200	32	8	18.2314
1200	32	16	18.5178
1200	32	32	17.8791
1600	8	8	63.7719
1600	16	8	53.5144
1600	16	16	52.3492
1600	32	8	43.503
1600	32	16	43.5891
1600	32	32	41.0176
2000	8	8	78.3259
2000	16	8	60.9423
2000	16	16	56.0371
2000	32	8	54.4067
2000	32	16	54.6299
2000	32	32	46.8833
